"--Select--","--Votre choix--"
"Add New Option","Ajouter une option"
"Add Selection","Ajouter la sélection"
"As low as","À partir de"
"Bundle Items","Articles bundle"
"Bundle Product","Produit bundle"
"Buy %1$s with %2$s discount each","Achetez-en %1$s et profitez d'une remise de %2$s sur chaque produit"
"Checkbox","Case à cocher"
"Choose a selection...","Choisissez..."
"Close","Fermer"
"Default","Défaut"
"Default Qty","Qté par défaut"
"Default Title","Titre par défaut"
"Drop-down","Liste déroulante"
"Dynamic","Dynamique"
"Excl. Tax","HT"
"Fixed","Fixé"
"From","Entre"
"From:","De :"
"Gift Message","Message cadeau"
"Input Type","Type de saisie"
"Is Required","Obligatoire"
"Message:","Message :"
"Multiple Select","Sélection multiple"
"N/A","N/A"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"None","Aucun"
"Percent","Pourcent"
"Percent Discount","Pourcentage de remise"
"Please enter search conditions to view products.","Saisissez des critères de recherche pour afficher des produits."
"Please select options for product.","Sélectionnez des options pour le produit."
"Please select products to add","Sélectionnez les produits à ajouter."
"Please specify the bundle option(s)","Spécifiez les options de bundle"
"Position","Position"
"Price Range","Tranche de prix"
"Price Type","Type de prix"
"Qty:","Qté :"
"Radio Buttons","Boutons radio"
"Required options not selected.","Options obligatoires non sélectionnées."
"Selected required options not available.","Les options obligatoires sélectionnées ne sont pas disponibles."
"Separately","Séparément"
"Ship Bundle Items","Livrer les articles bundle"
"Shipment","Livraison"
"Store View Title","Titre de la vue magasin"
"There is no defined renderer for ""%s"" option type","Aucun moteur de rendu n'est défini pour le type d'option ""%s"""
"This product is also part of bundle(s)","Ce produit fait aussi partie du bundle"
"To","À"
"To:","À :"
"Together","Ensemble"
"User Defined Qty","Quantité définie par l\'utilisateur"
