"Daily","Quotidien"
"Failure history lifetime","Historique d'échecs"
"Missed if not run within","Erreur si non exécuté en moins de"
"Monthly","Mensuel"
"Schedule ahead for","Programmer en avance de"
"Success history lifetime","Historique de réussites"
"Unable to save Cron expression","Impossible de sauvegarder l'expression Cron"
"Weekly","Hebdomadaire"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Afin que les URLs soient générées correctement lors de l'exécution de cron, assurez-vous que les URL non sécurisée et sécurisée sont correctement renseignées."
"Generate schedules every","Générer des tâches programmées toutes les"
"History cleanup every","Nettoyage de l'historique toutes les"
