" The customer doesn\'t exist in the system anymore","Le client n\'existe plus dans le système."
" The customer doesn't exist in the system anymore","Le client n\'existe plus dans le système."
"""%s"" coupon code is not valid.","Le bon de réduction ""%s"" n'est pas valide."
"%s order(s) successfully canceled","%s commandes ont bien été annulées"
"%s order(s) successfully put on hold","%s commandes ont bien été bloquées"
"%s order(s) successfully released from holding status","%s commandes ont bien été débloquées"
"(Total Shipping Charges %s)","(Montant total de livraison %s)"
"* - Enter custom price excluding tax","* - Saisissez le prix spécial HT"
"* - Enter custom price including tax","* - Saisissez le prix spécial TTC"
"About This Order:","A propos de cette commande :"
"About Your Order","A propos de votre commande"
"Account Information","Informations du compte"
"Action","Action"
"Actions","Actions"
"Add","Ajouter"
"Add New Address","Ajouter une nouvelle adresse"
"Add Order Comments","Ajouter des commentaires de commande"
"Add Products","Ajouter des produits"
"Add Selected Product(s) to Option","Ajouter les produits sélectionnés à l'option"
"Add Selected Product(s) to Order","Ajouter les produits sélectionnés à la commande"
"Add To Order","Ajouter à la commande"
"Add Tracking Number","Ajouter un numéro de suivi"
"Add a gift message for <strong>each gift item</strong>","Ajouter un message cadeau pour <strong>chaque article cadeau</strong>"
"Add a gift message for the <strong>entire order</strong>","Ajouter un message cadeau pour <strong>toute la commande</strong>"
"Add comment to order","Ajouter un commentaire à la commande"
"Add new comment to shipment","Ajouter un commentaire à la livraison"
"Add new tracking number","Ajouter un numéro de suivi"
"Add to Cart","Ajouter au panier"
"Address","Adresse"
"Adjustment Fee","Frais d'ajustement"
"Adjustment Fee:","Frais de dossier :"
"Adjustment Refund","Remboursement d'ajustement"
"Adjustment Refund:","Remboursement des frais de dossier :"
"Allow Reorder","Autoriser le renouvellement de commande"
"Amount","Montant"
"Append Comments","Ajouter les commentaires"
"Apply","Appliquer"
"Apply Coupon Code","Appliquer un bon de réduction"
"Are you sure you want to cancel this order?","Êtes-vous certain de vouloir annuler cette commande ?"
"Are you sure?","En êtes-vous sûr ?"
"Are you sure? This order will be cancelled and a new one will be created instead","En êtes-vous certain ? Cette commande va être supprimée et une nouvelle va être créée à la place"
"Back to My Orders","Retour à mes commandes"
"Backordered","En attente de stock"
"Bill to First name","Prénom (Fact.)"
"Bill to Last name","Nom de famille (Fact.)"
"Bill to Name","Nom (Fact.)"
"Billing Address","Adresse de facturation"
"Can not add order history.","Impossible d'ajouter l'historique de commande."
"Can not create block ""%s""","Impossible de créer le bloc ""%s"""
"Can not do invoice for order.","Impossible de créer la facture pour la commande."
"Can not do shipment for order.","Impossible de créer la livraison pour la commande."
"Can not register existing creditmemo","Impossible d'enregistrer un avoir existant."
"Can not register existing invoice","Impossible d'enregistrer une facture existante."
"Can not register existing shipment","Impossible d'enregistrer une livraison existante."
"Can\'t get order instance","Impossible de récupérer l\'instance de commande"
"Can't get order instance","Impossible de récupérer l\'instance de commande"
"Cancel","Annuler"
"Cancel invoice","Annuler la facture"
"Cancel order","Annuler la commande"
"Canceled","Annulée"
"Cannot create an empty shipment.","Impossible de créer une livraison vide."
"Capture","Collecter"
"Capture Amount","Collecter le montant"
"Capture Offline","Capturer hors ligne"
"Capture Online","Capturer en ligne"
"Capture invoice","Capturer la facture"
"Carrier","Transporteur"
"Change Status","Modifier le statut"
"Change status, add comments","Modifier le statut, ajouter des commentaires"
"Checkout totals sort order","Ordre de tri des totaux de commande"
"Click to change shipping method","Cliquer pour changer le mode de livraison"
"Closed","Fermée"
"Comment","Commentaire"
"Comment Text","Texte du commentaire"
"Comments","Commentaires"
"Comments History","Historique de commentaires"
"Complete","Terminée"
"Country","Pays"
"Coupons","Bons de réduction"
"Create","Créer"
"Create New Customer","Créer un nouveau client"
"Create New Order","Créer une nouvelle commande"
"Create New Order for %s","Créer une nouvelle commande pour %s"
"Create New Order for %s in %s","Créer une nouvelle commande pour %s dans %s"
"Create New Order for New Customer","Créer une nouvelle commande pour un nouveau client"
"Create New Order for New Customer in %s","Créer une nouvelle commande pour un nouveau client dans %s"
"Create Shipment","Créer la livraison"
"Create new invoice for order","Créer une facture pour la commande"
"Create new shipment for order","Créer une livraison pour la commande"
"Created At","Créé le"
"Credit Memo","Avoir"
"Credit Memo #","N° d'avoir"
"Credit Memo #","N° d'avoir"
"Credit Memo Comment Email Sender","Expéditeur du mail de commentaire d'avoir"
"Credit Memo Comment Email Template","Gabarit de mail de commentaire d'avoir"
"Credit Memo Comment Email Template for Guest","Gabarit de mail de commentaire d'avoir pour un invité"
"Credit Memo Comments","Commentaires d'avoir"
"Credit Memo Email Sender","Expéditeur du mail d'avoir"
"Credit Memo Email Template","Gabarit de mail d'avoir"
"Credit Memo Email Template for Guest","Gabarit de mail d'avoir pour un invité"
"Credit Memo Update","Mise à jour de l'avoir"
"Credit Memo Update for Guest","Mise à jour de l'avoir pour un invité"
"Credit Memo email not sent","Mail d'avoir non envoyé"
"Credit Memo email sent","Mail d'avoir envoyé"
"Credit Memos","Avoirs"
"Creditmemo","Avoir"
"Custom Options","Options personnalisables"
"Custom Value","Valeur personnalisée"
"Customer Group","Groupe de clients"
"Customer Name","Nom du client"
"Date","Date"
"Date Shipped","Date d'expédition"
"Date of Birth","Date de naissance"
"Delete","Supprimer"
"Description message","Message de description"
"Discount","Remise"
"Discount","Remise"
"Discount (%s)","Remise (%s)"
"Discount :","Remise :"
"Discount Amount","Remise"
"Document","Document"
"Don\'t specified PDF object","Objet PDF non spécifié"
"Don\'t specified PDF page object","Objet page PDF non spécifié"
"Don\'t specified item object","Objet article non spécifié"
"Don\'t specified order object","Objet commande non spécifié"
"Don\'t specified source object","Objet source non spécifié"
"Don't specified PDF object","Objet PDF non spécifié"
"Don't specified PDF page object","Objet page PDF non spécifié"
"Don't specified item object","Objet article non spécifié"
"Don't specified order object","Objet commande non spécifié"
"Don't specified source object","Objet source non spécifié"
"Edit","Éditer"
"Edit Order #%s","Modifier la commande #%s"
"Email","Email"
"Email Copy of Credit Memo","Envoyer une copie de l'avoir par mail"
"Email Copy of Invoice","Envoyer une copie de la facture par mail"
"Email Copy of Shipment","Envoyer une copie de la livraison par mail"
"Email Order Confirmation","Envoyer la confirmation de commande par mail"
"Enable","Activer"
"Error to show in shopping cart","Erreur à afficher dans le panier"
"Excl. Tax","HT"
"From","Entre"
"From Name","De la part de"
"From:","De :"
"G.T. (Base)","Montant total<br/>(Devise de base)"
"G.T. (Purchased)","Montant total<br/>(Devise de la commande)"
"Get shipping methods and rates","Récupérer les modes de livraison et les taux"
"Gift","Cadeau"
"Gift Certificate","Chèque cadeau"
"Gift Message","Message du cadeau"
"Gift Message for Entire Order","Message cadeau pour toute la commande"
"Gift Message for this Order","Message cadeau pour cette commande"
"Grand Total","Montant global"
"Grand Total to be charged","Total à facturer"
"Grand Total:","Montant global :"
"Guest","Invité"
"Hold","Bloquer"
"Hold action is not available","L'action bloquer n'est pas disponible"
"Hold order","Bloquer la commande"
"ID","ID"
"If empty, the default description above will be used","Si ce champ n'est pas rempli, la description par défaut ci-dessus sera utilisée"
"If empty, the default error above will be used","Si ce champ n'est pas rempli, l'erreur par défaut ci-dessus sera utilisée"
"Incl. Tax","TTC"
"Information","Information"
"Invalid carrier specified.","Transporteur spécifié invalide."
"Invalid item option format","Format d'option d'article invalide."
"Invalid qty to invoice item ""%s""","Quantité à facturer invalide pour l'article ""%s"""
"Invalid qty to refund item ""%s""","Quantité à rembourser invalide pour l'article ""%s"""
"Invalid qty to ship for item ""%s""","Quantité à livrer invalide pour l'article ""%s"""
"Invalid renderer model","Modèle invalide"
"Invalid request for adding product to quote","Demande invalide d'ajout de produit au panier."
"Invoice","Facture"
"Invoice #","N° de facture"
"Invoice #","N° de facture"
"Invoice #%s","Facture N°%s"
"Invoice Comment Email Sender","Expéditeur du mail de commentaire de facture"
"Invoice Comment Email Template","Gabarit de mail commentaire de facture"
"Invoice Comment Email Template for Guest","Gabarit de mail de commentaire de facture pour un invité"
"Invoice Comments","Commentaires de facture"
"Invoice Date","Date de facturation"
"Invoice Email Sender","Expéditeur du mail de facture"
"Invoice Email Template","Gabarit mail de facture"
"Invoice Email Template for Guest","Gabarit de mail de facture pour un invité"
"Invoice Update","Mise à jour de facture"
"Invoice Update for Guest","Mise à jour de facture pour un invité"
"Invoice and Packing Slip Design","Design de facture et de bordereau de livraison"
"Invoice can not be canceled","La facture ne peut pas être annulée"
"Invoice can not be captured","La facture ne peut pas être capturée"
"Invoice can not be void","La facture ne peut pas être invalidée"
"Invoice cancel problem","Problème lors de l'annulation de facture"
"Invoice capture problem","Problème lors de la capture de facture"
"Invoice email not sent","Mail de facture non envoyé"
"Invoice email sent","Mail de facture envoyé"
"Invoice void problem","Problème lors de l'invalidation de facture"
"Invoiced","Facturé"
"Invoices","Factures"
"Item","Article"
"Item option with code %s already exist","Une option d'article avec ce code existe déjà"
"Item options declare error","Erreur de déclaration d'options d'article"
"Item qty declare error","Erreur de déclaration de la quantité d'articles"
"Items Invoiced","Articles facturés"
"Items Ordered","Articles commandés"
"Items Refunded","Articles remboursés"
"Items Shipped","Articles expédiés"
"Items options declare error.","Erreur de déclaration d'options d'articles"
"Items to Invoice","Articles à facturer"
"Items to Refund","Articles à rembourser"
"Items to Ship","Articles à expédier"
"Last ordered items","Derniers articles commandés"
"Link to the new order","Lier à la nouvelle commande"
"Link to the previous order","Lier à la commande précédente"
"Logo (200x50)","Logo (200x50)"
"Message","Message"
"Message:","Message :"
"Minimum amount","Montant minimum"
"Minimum order amount","Montant de commande minimum"
"Mixed","Assortiment"
"Multi-address description message","Message de description multi-adresse"
"Multi-address error to show in shopping cart","Erreur multi-adresse à afficher dans le panier"
"My Orders","Mes commandes"
"My Orders - Details","Mes commandes - Détails"
"Name","Nom (usage interne)"
"New","Nouveau"
"New Credit Memo","Nouvel avoir"
"New Credit Memo for Guest","Nouvel avoir pour un invité"
"New Invoice","Nouvelle facture"
"New Invoice for Guest","Nouvelle facture pour un invité"
"New Order","Nouvelle commande"
"New Order Confirmation Email Sender","Expéditeur du mail de confirmation de commande"
"New Order Confirmation Template","Gabarit de confirmation nouvelle commande"
"New Order Confirmation Template for Guest","Gabarit de confirmation de nouvelle commande pour un invité"
"New Order RSS","Flux RSS des nouvelles commandes"
"New Order for Guest","Nouvelle commande pour un invité"
"New Shipment","Nouvelle livraison"
"New Shipment for Guest","Nouvelle expédition pour un invité"
"New Status","Nouveau statut"
"Newsletter Subscription","Inscription à la newsletter"
"No Payment Methods","Aucun mode de paiement"
"No detail for number ""%s""","Aucun détail pour le numéro ""%s"""
"No items","Aucun article"
"Not Capture","Pas de capture"
"Notify Customer","Avertir le client"
"Number","Numéro"
"On Hold","Bloquée"
"Order","Commande"
"Order #","N° de commande"
"Order #","N° de commande"
"Order # %s","Commande N°%s"
"Order #%s","Commande N°%s"
"Order #%s - %s","Commande N°%s - <small><em>%s</em></small>"
"Order API","API commande"
"Order Comment","Commentaire de la commande"
"Order Comment Email Sender","Expéditeur du mail de commentaire de commande"
"Order Comment Email Template","Gabarit de mail de commentaire de commande"
"Order Comment Email Template for Guest","Gabarit de mail de commentaire de commande pour un invité"
"Order Comments","Commentaires de commande"
"Order Credit Memos","Avoirs de la commande"
"Order Currency:","Devise de la commande :"
"Order Date","Date de commande"
"Order Date: ","Date de commande :"
"Order Date: %s","<strong>Date de commande :</strong> %s"
"Order Details","Détails de la commande"
"Order Grand Total","Montant global"
"Order History","Historique"
"Order Information","Informations commande"
"Order Invoices","Factures de la commande"
"Order Shipments","Livraisons de la commande"
"Order Status","Statut"
"Order Subtotal","Sous-total de la commande"
"Order Subtotal:","Sous-total :"
