"Add Sitemap","Ajouter un plan du site"
"Always","Toujours"
"CMS Pages Options","Options pour les pages CMS"
"Categories Options","Options pour les catégories"
"Daily","Quotidien"
"Edit Sitemap","Éditer le plan de site"
"Enabled","Activé"
"Error Email Recipient","Erreur de mail destinataire"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"Filename","Nom de fichier"
"Frequency","Fréquence"
"Generation Settings","Paramètres généraux"
"Google Sitemap","Plan de site Google"
"Hourly","Toutes les heures"
"ID","ID"
"Last Time Generated","Généré pour la dernière fois le"
"Link for Google","Lien pour Google"
"Monthly","Mensuel"
"Never","Jamais"
"New Sitemap","Nouveau plan de site"
"Path","Chemin"
"Please create the specified folder ""%s"" before saving the sitemap.","Veuillez créer le répertoire ""%s"" avant d'enregistrer le plan de site."
"Please define correct path","Veuillez définir un chemin correct"
"Please make sure that ""%s"" is writable by web-sebver.","Vérifiez que l'utilisateur du serveur web peut écrire dans le répertoire ""%s"""
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) only in the filename. No spaces or other characters are allowed.","Merci d'utiliser uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou underscore (_) dans les noms de fichiers. Les espaces et autres caractères ne sont pas autorisés."
"Priority","Priorité"
"Priority must be between 0 and 1","La priorité doit être entre 0 et 1"
"Products Options","Options pour les produits"
"Sitemap","Plan de site"
"Sitemap generate Warnings","Le plan du site a généré des alertes"
"Sitemap was successfully deleted","Le plan du site a bien été effacé"
"Sitemap was successfully saved","Le plan du site a bien été sauvegardé"
"Start Time","Heure de début"
"Store View","Vue magasin"
"This sitemap no longer exists","Ce plan de site n'existe plus"
"Unable to find a sitemap to delete","Impossible de trouver un plan de site à effacer"
"Weekly","Hebdomadaire"
"Yearly","Annuellement"
"Manage Google Sitemaps","Gérer les plans de site Google"
"Google Sitemaps","Plans de site Google"
